task,side,instr,lang,measure,model,value
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-7B,0.064
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-14B,0.088
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-72B,0.339
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-7B,0.043
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-13B,0.064
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-70B,0.063
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,DeVops-7B,0.064
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,DeVops-14B,0.108
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-7B,0.094
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-20B,0.198
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,AquilaChat-7B,0.048
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,GPT-3.5,0.244
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,GPT-4,0.678
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Gemini Pro,0.235
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Mistral-7B,0.101
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,BaiChuan2-13B,0.001
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,GhatGLM4,0.271
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Claude3 Sonnet,0.484
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Qwen1.5-7B,45.47
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Qwen1.5-14B,40.69
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Qwen1.5-72B,16.37
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,LLaMa2-7B,48.27
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,LLaMa2-13B,44.87
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,LLaMa2-70B,45.19
